Castel del Monte comune,Castel del Monte comune.1
,
Castel del Monte – Veduta,Castel del Monte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Matteo Pastorelli (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,42°21′55.58″N 13°43′33.31″E
Altitudine,1 346 m s.l.m.
Superficie,"58,03 km²"
Abitanti,376[1] (30-11-2025)
Densità,"6,48 ab./km²"
Comuni confinanti,"Arsita (TE), Calascio, Castelli (TE), Farindola (PE), Ofena, Villa Celiera (PE), Villa Santa Lucia degli Abruzzi"
Altre informazioni,Altre informazioni
Cod. postale,67023
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066026
Cod. catastale,C083
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 428 GG[3]"
Nome abitanti,castellani
Patrono,San Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Castel del Monte,Castel del Monte
Castel del Monte – MappaPosizione del comune di Castel del Monte all'interno della provincia dell'Aquila,Castel del Monte – MappaPosizione del comune di Castel del Monte all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
