Santo Stefano di Sessanio comune,Santo Stefano di Sessanio comune.1
,
Santo Stefano di Sessanio – Veduta,Santo Stefano di Sessanio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Fabio Santavicca (Lista Civica Obiettivo comune[1]) dal 25-5-2014
Territorio,Territorio
Coordinate,42°20′33.59″N 13°38′45.48″E
Altitudine,1 251 m s.l.m.
Superficie,"33,7 km²"
Abitanti,102[2] (30-11-2025)
Densità,"3,03 ab./km²"
Comuni confinanti,"Barisciano, Calascio, Carapelle Calvisio, Castelvecchio Calvisio, Isola del Gran Sasso d'Italia (TE), L'Aquila"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066091
Cod. catastale,I360
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 433 GG[4]"
Nome abitanti,stefanari
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Santo Stefano di Sessanio,Santo Stefano di Sessanio
Santo Stefano di Sessanio – MappaPosizione del comune di Santo Stefano di Sessanio all'interno della provincia dell'Aquila,Santo Stefano di Sessanio – MappaPosizione del comune di Santo Stefano di Sessanio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
