Montelapiano comune,Montelapiano comune.1
,
Montelapiano – VedutaVeduta di Montelapiano,Montelapiano – VedutaVeduta di Montelapiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Arturo Scopino (Europa Verde) dal 12-6-2022
Territorio,Territorio
Coordinate,41°58′04.74″N 14°19′35.61″E
Altitudine,740 m s.l.m.
Superficie,"8,27 km²"
Abitanti,68[1] (30-11-2025)
Densità,"8,22 ab./km²"
Comuni confinanti,"Civitaluparella, Fallo, Montebello sul Sangro, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069053
Cod. catastale,F535
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 306 GG[3]"
Nome abitanti,montelapianesi
Patrono,San Bonifacio
Giorno festivo,18 agosto
Cartografia,Cartografia
Montelapiano,Montelapiano
Montelapiano – MappaPosizione del comune di Montelapiano all'interno della provincia di Chieti,Montelapiano – MappaPosizione del comune di Montelapiano all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
