Nocciano comune,Nocciano comune.1
,
Nocciano – Veduta,Nocciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Marcello Luciano Giordano (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,42°20′N 13°59′E
Altitudine,301 m s.l.m.
Superficie,"13,76 km²"
Abitanti,1 683[1] (30-11-2025)
Densità,"122,31 ab./km²"
Frazioni,"Casali, Cerasa, Collemaggio, Collina, Fonteschiavo, Prato San Lorenzo"
Comuni confinanti,"Alanno, Catignano, Cugnoli, Pianella, Rosciano"
Altre informazioni,Altre informazioni
Cod. postale,65010
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068026
Cod. catastale,F908
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 710 GG[3]"
Nome abitanti,noccianesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
PIL,"(nominale) 26,2 mln €[4]"
PIL procapite,(nominale) 14 586 €[4]
Cartografia,Cartografia
Nocciano,Nocciano
Nocciano – MappaPosizione del comune di Nocciano all'interno della provincia di Pescara,Nocciano – MappaPosizione del comune di Nocciano all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
