Pietranico comune,Pietranico comune.1
,
Pietranico – VedutaPanorama del paese con la Maiella sullo sfondo,Pietranico – VedutaPanorama del paese con la Maiella sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Pescara
Amministrazione,Amministrazione
Sindaco,Francesco Del Biondo (lista civica) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,42°17′N 13°55′E
Altitudine,590 m s.l.m.
Superficie,"14,77 km²"
Abitanti,420[1] (30-11-2025)
Densità,"28,44 ab./km²"
Frazioni,Valle Baroni; Valle Grazietti; Boccaccio
Comuni confinanti,"Alanno, Brittoli, Castiglione a Casauria, Civitaquana, Corvara, Cugnoli, Pescosansonesco, Torre de' Passeri"
Altre informazioni,Altre informazioni
Cod. postale,65020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,068032
Cod. catastale,G621
Targa,PE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 161 GG[3]"
Nome abitanti,pietranichesi
PIL,"(nominale) 6,3 mln € [4]"
PIL procapite,(nominale) 13 535 €[4]
Cartografia,Cartografia
Pietranico,Pietranico
Pietranico – MappaPosizione del comune di Pietranico all'interno della provincia di Pescara,Pietranico – MappaPosizione del comune di Pietranico all'interno della provincia di Pescara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
