Alba Adriatica comune,Alba Adriatica comune.1
,
Alba Adriatica – VedutaAlba Adriatica vista dal mare,Alba Adriatica – VedutaAlba Adriatica vista dal mare
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Antonietta Casciotti (lista civica di centro-sinistra Uniamo Alba) dall'11-6-2018
Data di istituzione,14 luglio 1956
Territorio,Territorio
Coordinate,42°50′N 13°55′E
Altitudine,5 m s.l.m.
Superficie,"9,6 km²"
Abitanti,13 319[1] (30-11-2025)
Densità,"1 387,4 ab./km²"
Frazioni,"Basciani, Casasanta, Villa Fiore"
Comuni confinanti,"Colonnella, Corropoli, Martinsicuro, Tortoreto"
Altre informazioni,Altre informazioni
Cod. postale,64011
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067001
Cod. catastale,A125
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 206 GG[3]"
Nome abitanti,albensi
Patrono,sant'Eufemia
Giorno festivo,16 settembre
PIL,"(nominale) 206,5 mln € (2021)[4]"
PIL procapite,"(nominale) 16 187,4 € (2021)[4]"
Cartografia,Cartografia
Alba Adriatica,Alba Adriatica
Alba Adriatica – MappaPosizione del comune di Alba Adriatica all'interno della provincia di Teramo,Alba Adriatica – MappaPosizione del comune di Alba Adriatica all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
