Controguerra comune,Controguerra comune.1
,
Controguerra – VedutaVeduta di Piazza del Commercio e di Porta Maggiore di Controguerra,Controguerra – VedutaVeduta di Piazza del Commercio e di Porta Maggiore di Controguerra
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Franco Carletta (lista civica Insieme per Controguerra) dal 15-5-2023 (3º mandato)
Territorio,Territorio
Coordinate,42°51′N 13°49′E
Altitudine,267 m s.l.m.
Superficie,"22,82 km²"
Abitanti,2 177[1] (30-11-2025)
Densità,"95,4 ab./km²"
Frazioni,"Commenda, Mattonelle, Piano del Tronto, Pignotto, San Giovanni, San Giuseppe Lavoratore, Santa Croce, Taiano"
Comuni confinanti,"Ancarano, Colonnella, Corropoli, Monsampolo del Tronto (AP), Monteprandone (AP), Nereto, Spinetoli (AP), Torano Nuovo"
Altre informazioni,Altre informazioni
Cod. postale,64010
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067020
Cod. catastale,C972
Targa,TE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 751 GG[3]"
Nome abitanti,controguerresi
Patrono,san Benedetto Abate
Giorno festivo,21 marzo
Cartografia,Cartografia
Controguerra,Controguerra
Controguerra – MappaPosizione del comune di Controguerra all'interno della provincia di Teramo,Controguerra – MappaPosizione del comune di Controguerra all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
