Fano Adriano comune,Fano Adriano comune.1
,
Fano Adriano – VedutaPanorama del centro del paese,Fano Adriano – VedutaPanorama del centro del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Teramo
Amministrazione,Amministrazione
Sindaco,Luigi Servi (lista civica Senso civico) dal 27-5-2019
Data di istituzione,1806
Territorio,Territorio
Coordinate,42°33′14″N 13°32′12″E
Altitudine,750 m s.l.m.
Superficie,"35,77 km²"
Abitanti,244[1] (30-11-2025)
Densità,"6,82 ab./km²"
Frazioni,"Cerqueto, Ponte Rio Arno, Regimenti, Prato Selva"
Comuni confinanti,"Crognaleto, Isola del Gran Sasso d'Italia, L'Aquila (AQ), Montorio al Vomano, Pietracamela, Tossicia"
Altre informazioni,Altre informazioni
Cod. postale,64044
Prefisso,0861
Fuso orario,UTC+1
Codice ISTAT,067024
Cod. catastale,D489
Targa,TE
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 606 GG[3]"
Nome abitanti,fanesi
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
Fano Adriano,Fano Adriano
Fano Adriano – MappaPosizione del comune di Fano Adriano all'interno della provincia di Teramo,Fano Adriano – MappaPosizione del comune di Fano Adriano all'interno della provincia di Teramo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
