Salandra comune,Salandra comune.1
,
Salandra – Veduta,Salandra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Giuseppe Soranno (lista civica Insieme viviamo Salandra) dal 22-9-2020
Territorio,Territorio
Coordinate,40°32′N 16°19′E
Altitudine,598 m s.l.m.
Superficie,"77,44 km²"
Abitanti,2 395[1] (30-11-2025)
Densità,"30,93 ab./km²"
Frazioni,Montagnola
Comuni confinanti,"Ferrandina, Garaguso, Grassano, Grottole, San Mauro Forte"
Altre informazioni,Altre informazioni
Cod. postale,75017
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077024
Cod. catastale,H687
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 959 GG[3]"
Nome abitanti,salandresi
Patrono,san Rocco
Giorno festivo,18 agosto
Cartografia,Cartografia
Salandra,Salandra
Salandra – MappaPosizione del comune di Salandra nella provincia di Matera,Salandra – MappaPosizione del comune di Salandra nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
