Maratea comune,Maratea comune.1
,
Maratea – Veduta,Maratea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Cesare Albanese[1] (lista civica Maratea è viva) dal 10-6-2024
Territorio,Territorio
Coordinate,39°59′34″N 15°43′00″E
Altitudine,300 m s.l.m.
Superficie,"67,84 km²"
Abitanti,4 534[2] (30-11-2025)
Densità,"66,83 ab./km²"
Frazioni,"Acquafredda, Brefaro, Castrocucco, Cersuta, Fiumicello-Santavenere, Marina, Massa, Porto, Santa Caterina[3]"
Comuni confinanti,"Rivello, Sapri (SA), Tortora (CS), Trecchina[4]"
Altre informazioni,Altre informazioni
Cod. postale,85046
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076044
Cod. catastale,E919
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona C, 1 325 GG[6]"
Nome abitanti,marateoti[7]
Patrono,san Biagio[7]
Giorno festivo,seconda domenica di maggio[8]
Motto,"Regia Civitas, Marisque Dea[9]"
Cartografia,Cartografia
Maratea,Maratea
Maratea – MappaPosizione del comune di Maratea all'interno della provincia di Potenza,Maratea – MappaPosizione del comune di Maratea all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
