Melfi comune,Melfi comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Melfi – Veduta,Melfi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Maglione (centro-destra) dal 5-10-2021
Territorio,Territorio
Coordinate,40°59′47″N 15°39′21″E
Altitudine,530 m s.l.m.
Superficie,"206,23 km²"
Abitanti,16 809[1] (30-11-2025)
Densità,"81,51 ab./km²"
Frazioni,"Camarda, Capannola, Foggianello, Foggiano, Isca ricotta, Leonessa, Masseria Casella, Masseria Catapane, Masseria Menolecchia, Parasacco, San Giorgio di Melfi, San Nicola, Vaccareccia, Villa Mariannina[2]"
Comuni confinanti,"Aquilonia (AV), Ascoli Satriano (FG), Candela (FG), Lacedonia (AV), Lavello, Monteverde (AV), Rapolla, Rionero in Vulture, Rocchetta Sant'Antonio (FG)[3]"
Altre informazioni,Altre informazioni
Cod. postale,85025
Prefisso,0972
Fuso orario,UTC+1
Codice ISTAT,076048
Cod. catastale,F104
Targa,PZ
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona D, 1 841 GG[5]"
Nome abitanti,melfitani
Patrono,sant'Alessandro di Bergamo
Giorno festivo,9 febbraio
Soprannome,la città delle Costituzioni di Federico II
Cartografia,Cartografia
Melfi,Melfi
Melfi – MappaPosizione del comune di Melfi all'interno della provincia di Potenza,Melfi – MappaPosizione del comune di Melfi all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
