San Costantino Albanese comune,San Costantino Albanese comune.1
,
San Costantino Albanese – VedutaChiesa di San Costantino il Grande,San Costantino Albanese – VedutaChiesa di San Costantino il Grande
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Potenza
Amministrazione,Amministrazione
Sindaco,Renato Iannibelli (lista civica) dal 12/06/2017 (2º mandato dal 13/06/2022)
Lingue ufficiali,"arbëreshë (lingua locale), italiano"
Territorio,Territorio
Coordinate,40°02′N 16°18′E
Altitudine,650 m s.l.m.
Superficie,"43,25 km²"
Abitanti,571[1] (30-11-2025)
Densità,"13,2 ab./km²"
Frazioni,"Conserva, Farneta, Martorino, Venticalia, Bracullo"
Comuni confinanti,"Chiaromonte, Francavilla in Sinni, Noepoli, San Paolo Albanese, Terranova di Pollino"
Altre informazioni,Altre informazioni
Cod. postale,85030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,076075
Cod. catastale,H808
Targa,PZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 091 GG[3]"
Nome abitanti,sancostantinesi o arbëreshë i Shën Kostandinit
Patrono,"san Costantino il Grande, Madonna della Stella"
Giorno festivo,"21 maggio, 2ª domenica di maggio"
Cartografia,Cartografia
San Costantino Albanese,San Costantino Albanese
San Costantino Albanese – MappaPosizione del comune di San Costantino Albanese all'interno della provincia di Potenza,San Costantino Albanese – MappaPosizione del comune di San Costantino Albanese all'interno della provincia di Potenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
