Bagnara Calabra comune,Bagnara Calabra comune.1
,
Bagnara Calabra – VedutaPanorama di Bagnara,Bagnara Calabra – VedutaPanorama di Bagnara
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Adone Pistolesi (lista civica) dal 14-6-2022
Territorio,Territorio
Coordinate,38°17′N 15°49′E
Altitudine,50 m s.l.m.
Superficie,"24,85 km²"
Abitanti,9 094[1] (30-11-2025)
Densità,"365,96 ab./km²"
Frazioni,CeramidaPellegrinaSolano Inferiore
Comuni confinanti,MelicuccàSant'Eufemia d'AspromonteScillaSeminara
Altre informazioni,Altre informazioni
Cod. postale,89011
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080007
Cod. catastale,A552
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,bagnaroti
Patrono,Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Bagnara Calabra,Bagnara Calabra
Bagnara Calabra – MappaPosizione del comune di Bagnara Calabra nella città metropolitana di Reggio Calabria,Bagnara Calabra – MappaPosizione del comune di Bagnara Calabra nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
