Scido comune,Scido comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Zampogna (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Data di istituzione,1-1-1838
Territorio,Territorio
Coordinate,38°15′N 15°56′E
Altitudine,456 m s.l.m.
Superficie,"17,53 km²"
Abitanti,798[1] (30-11-2025)
Densità,"45,52 ab./km²"
Frazioni,Santa Giorgia
Comuni confinanti,"Cosoleto, Delianuova, San Luca, Santa Cristina d'Aspromonte"
Altre informazioni,Altre informazioni
Cod. postale,89010
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080084
Cod. catastale,I536
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 607 GG[3]"
Nome abitanti,scidesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Scido,Scido
Scido – MappaPosizione del comune di Scido all'interno della città metropolitana di Reggio Calabria,Scido – MappaPosizione del comune di Scido all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
