Centrache comune,Centrache comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Fernando Sinopoli (lista civica ""Futuro per Centrache"") dal 12-6-2022"
Territorio,Territorio
Coordinate,38°44′N 16°26′E
Altitudine,458 m s.l.m.
Superficie,"7,96 km²"
Abitanti,353[1] (30-11-2025)
Densità,"44,35 ab./km²"
Comuni confinanti,"Montepaone, Olivadi, Palermiti, Petrizzi, Vallefiorita"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079025
Cod. catastale,C472
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 622 GG[3]"
Nome abitanti,centrachesi
Patrono,sant'Onofrio
Giorno festivo,12 giugno
Cartografia,Cartografia
Centrache,Centrache
Centrache – MappaPosizione del comune di Centrache all'interno della provincia di Catanzaro,Centrache – MappaPosizione del comune di Centrache all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
