Falerna comune,Falerna comune.1
,
Falerna – VedutaPanorama di Falerna visto da Castiglione Marittimo,Falerna – VedutaPanorama di Falerna visto da Castiglione Marittimo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Francesco Stella (lista civica ""Uniti per Falerna"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°00′N 16°10′E
Altitudine,550 m s.l.m.
Superficie,"24,04 km²"
Abitanti,3 998[1] (30-11-2025)
Densità,"166,31 ab./km²"
Frazioni,"Cartolano, Castiglione Marittimo, Convento, Falerna Scalo, Sanguinello, Santa Lucia"
Comuni confinanti,"Gizzeria, Lamezia Terme, Nocera Terinese"
Altre informazioni,Altre informazioni
Cod. postale,88042
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079047
Cod. catastale,D476
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,falernesi
Patrono,san Tommaso d'Aquino
Giorno festivo,"7 marzo, 8 settembre"
Cartografia,Cartografia
Falerna,Falerna
Falerna – MappaPosizione del comune di Falerna all'interno della provincia di Catanzaro,Falerna – MappaPosizione del comune di Falerna all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
