Gizzeria comune,Gizzeria comune.1
,
Gizzeria – Veduta,Gizzeria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Francesco Argento (lista civica di centro-destra ""Gizzeria Che Amiamo"") dal 21-9-2020"
Territorio,Territorio
Coordinate,38°59′N 16°12′E
Altitudine,630 m s.l.m.
Superficie,"37,19 km²"
Abitanti,5 396[1] (30-11-2025)
Densità,"145,09 ab./km²"
Frazioni,"Gizzeria Lido, Destra, Prisa, Mortilla, Scaramella, Campoienzo, Santa Caterina, Maiolino, Lenzi, Case sparse"
Comuni confinanti,"Falerna, Lamezia Terme"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079060
Cod. catastale,E068
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,"gizzeroti (jezzaroti in dialetto catanzarese, jacarjotë in lingua arbëreshe)"
Patrono,San Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Gizzeria,Gizzeria
Gizzeria – MappaPosizione del comune di Gizzeria all'interno della provincia di Catanzaro,Gizzeria – MappaPosizione del comune di Gizzeria all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
