Marcedusa comune,Marcedusa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Domenico Garofalo (lista civica Libertà e trasparenza) dal 26-5-2019
Territorio,Territorio
Coordinate,39°02′N 16°50′E
Altitudine,288 m s.l.m.
Superficie,"15,68 km²"
Abitanti,356[1] (30-11-2025)
Densità,"22,7 ab./km²"
Comuni confinanti,"Belcastro, Mesoraca (KR), Petronà"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079071
Cod. catastale,E923
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 310 GG[3]"
Nome abitanti,(IT) marcedusani (AAE) marçëdhuzanë
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Marcedusa,Marcedusa
Marcedusa – MappaPosizione del comune di Marcedusa all'interno della provincia di Catanzaro,Marcedusa – MappaPosizione del comune di Marcedusa all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
