Acquaformosa comune,Acquaformosa comune.1
,
Acquaformosa – VedutaChiesa di San Giovanni Battista,Acquaformosa – VedutaChiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Annalisa Milione (lista civica Insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,39°43′22.01″N 16°05′27.46″E
Altitudine,756 m s.l.m.
Superficie,"22,71 km²"
Abitanti,923[1] (30-11-2025)
Densità,"40,64 ab./km²"
Comuni confinanti,"Altomonte, Lungro, San Donato di Ninea"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078001
Cod. catastale,A033
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 314 GG[3]"
Nome abitanti,acquaformositani(IT) firmozjotë(AAE)
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Acquaformosa,Acquaformosa
Acquaformosa – MappaPosizione del comune di Acquaformosa all'interno della provincia di Cosenza,Acquaformosa – MappaPosizione del comune di Acquaformosa all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
