Dipignano comune,Dipignano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Gaetano Sorcale (lista civica Rinnovamenti) dal 22-9-2020
Territorio,Territorio
Coordinate,39°14′N 16°15′E
Altitudine,720 m s.l.m.
Superficie,"23,46 km²"
Abitanti,4 062[1] (30-11-2025)
Densità,"173,15 ab./km²"
Frazioni,"Basso, Brunetta, Capocasale, Cappuccini, Croce, Doviziosi, Granci, Laurignano, Molino Irto, Petrone, Pozzillo, Santa Maria, Specola, Tessano"
Comuni confinanti,"Carolei, Cosenza, Domanico, Mendicino, Paterno Calabro"
Altre informazioni,Altre informazioni
Cod. postale,87045
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078049
Cod. catastale,D304
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,dipignanesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Dipignano,Dipignano
Dipignano – MappaPosizione del comune di Dipignano all'interno della provincia di Cosenza,Dipignano – MappaPosizione del comune di Dipignano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
