Lago comune,Lago comune.1
,
Lago – Veduta,Lago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Fiorenzo Scanga (CambiAmo Lago) dal 4-10-2021
Territorio,Territorio
Coordinate,39°10′N 16°09′E
Altitudine,485 m s.l.m.
Superficie,"49,96 km²"
Abitanti,2 372[1] (30-11-2025)
Densità,"47,48 ab./km²"
Frazioni,"Aria di Lupi, Cafosa, Chiorio, Fellito, Fontanella, Greci, Laghitello, Margi, Palomandro, Paragieri, Pignanese, Piscopie, Ponticelli, Rovettari, Sangineto, Scavolio, Terrati (fino al 1927 comune autonomo), Vasci, Versaggi, Zaccanelle"
Comuni confinanti,"Aiello Calabro, Belmonte Calabro, Domanico, Grimaldi, Mendicino, San Pietro in Amantea, Amantea"
Altre informazioni,Altre informazioni
Cod. postale,87035
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078062
Cod. catastale,E407
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 787 GG[3]"
Nome abitanti,laghitani
Patrono,San Nicola di Myra
Giorno festivo,6 dicembre
Cartografia,Cartografia
Lago,Lago
Lago – MappaPosizione del comune di Lago all'interno della provincia di Cosenza,Lago – MappaPosizione del comune di Lago all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
