Marano Principato comune,Marano Principato comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Giuseppe Salerno (lista civica ""Insieme"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°18′N 16°11′E
Altitudine,496 m s.l.m.
Superficie,"6,32 km²"
Abitanti,2 989[1] (30-11-2025)
Densità,"472,94 ab./km²"
Frazioni,"Bisciglietto, Canali, Pantusa, Savagli"
Comuni confinanti,"Castrolibero, Cerisano, Falconara Albanese, Marano Marchesato, Rende, San Fili, San Lucido"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078077
Cod. catastale,E915
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 791 GG[3]"
Nome abitanti,principatesi
Patrono,Maria SS. Annunziata
Giorno festivo,8 settembre
Cartografia,Cartografia
Marano Principato,Marano Principato
Marano Principato – MappaPosizione del comune di Marano Principato all'interno della provincia di Cosenza,Marano Principato – MappaPosizione del comune di Marano Principato all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
