Rende comune,Rende comune.1
,
Rende – VedutaFoto dall’alto del centro storico di Rende.,Rende – VedutaFoto dall’alto del centro storico di Rende.
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Sandro Principe (PSI) dal 26-05-2025
Territorio,Territorio
Coordinate,39°20′N 16°11′E
Altitudine,centro storico: 474 m sede comunale: 183 m s.l.m.
Superficie,"55,48 km²"
Abitanti,36 883[1] (30-11-2025)
Densità,"664,8 ab./km²"
Frazioni,"Arcavacata, Centro Storico, Quattromiglia, Santo Stefano, Commenda, Surdo, Roges, Saporito"
Comuni confinanti,"Castiglione Cosentino, Castrolibero, Cosenza, Marano Marchesato, Marano Principato, Montalto Uffugo, Rose, San Fili, San Lucido, San Pietro in Guarano, San Vincenzo La Costa, Zumpano"
Altre informazioni,Altre informazioni
Cod. postale,87036
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078102
Cod. catastale,H235
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 747 GG[3]"
Nome abitanti,rendesi
Patrono,Immacolata Concezione della Beata Vergine Maria
Giorno festivo,20 febbraio
Cartografia,Cartografia
Rende,Rende
Rende – MappaPosizione del comune di Rende all'interno della provincia di Cosenza,Rende – MappaPosizione del comune di Rende all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
