San Demetrio Corone comune,San Demetrio Corone comune.1
,
San Demetrio Corone – Veduta,San Demetrio Corone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Ernesto Madeo (lista civica ""Cambiamo con Te San Demetrio"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°34′N 16°22′E
Altitudine,521 m s.l.m.
Superficie,"61,87 km²"
Abitanti,2 954[1] (30-11-2025)
Densità,"47,75 ab./km²"
Frazioni,"Macchia Albanese, Gurisa, Sofferetti, Sant'Agata, San Nicola, Piedigallo"
Comuni confinanti,"Acri, Corigliano-Rossano, San Cosmo Albanese, Santa Sofia d'Epiro, Tarsia, Terranova da Sibari"
Altre informazioni,Altre informazioni
Cod. postale,87069
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078114
Cod. catastale,H818
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,Sandemetresi (in arbëreshë Shënmitrotë)
Patrono,san Demetrio Megalomartire
Giorno festivo,26 ottobre
Cartografia,Cartografia
San Demetrio Corone,San Demetrio Corone
San Demetrio Corone – MappaPosizione del comune di San Demetrio Corone all'interno della provincia di Cosenza,San Demetrio Corone – MappaPosizione del comune di San Demetrio Corone all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
