San Nicola Arcella comune,San Nicola Arcella comune.1
,
San Nicola Arcella – Veduta,San Nicola Arcella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Eugenio Madeo (Lista civica Sna Prima di Tutto) dal 4-10-2021
Territorio,Territorio
Coordinate,39°51′N 15°48′E
Altitudine,110 m s.l.m.
Superficie,"11,69 km²"
Abitanti,2 018[1] (30-11-2025)
Densità,"172,63 ab./km²"
Frazioni,"Atrigna, Castagneto, Dino, Gioffa, Pianette, Profondiero, San Giorgio, Saracena, Semaforo, Tufo, Vannefora."
Comuni confinanti,"Praia a Mare, Santa Domenica Talao, Scalea"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078125
Cod. catastale,I060
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 045 GG[3]"
Nome abitanti,sannicolesi
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
San Nicola Arcella,San Nicola Arcella
San Nicola Arcella – MappaPosizione del comune di San Nicola Arcella all'interno della provincia di Cosenza,San Nicola Arcella – MappaPosizione del comune di San Nicola Arcella all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
