Petilia Policastro comune,Petilia Policastro comune.1
,
Petilia Policastro – Veduta,Petilia Policastro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Simone Saporito (lista civica di centro-sinistra Petilia rinasce) dal 4-10-2021
Territorio,Territorio
Coordinate,39°07′N 16°47′E
Altitudine,436 m s.l.m.
Superficie,"98,35 km²"
Abitanti,8 439[1] (30-11-2025)
Densità,"85,81 ab./km²"
Frazioni,"Camellino, Foresta, Pagliarelle, Villaggio Principe."
Comuni confinanti,"Cotronei, Mesoraca, Roccabernarda, Taverna (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,88837
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101017
Cod. catastale,G508
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,petilini o policastresi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Petilia Policastro,Petilia Policastro
Petilia Policastro – MappaPosizione del comune di Petilia Policastro nella provincia di Crotone,Petilia Policastro – MappaPosizione del comune di Petilia Policastro nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
