Cardito comune,Cardito comune.1
,
Cardito – VedutaMunicipio a Piazza Garibaldi di Cardito,Cardito – VedutaMunicipio a Piazza Garibaldi di Cardito
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giuseppe Cirillo (PD) dal 19-6-2015 (2º mandato dal 25-9-2020)
Territorio,Territorio
Coordinate,40°56′10.28″N 14°17′57.3″E
Altitudine,33 m s.l.m.
Superficie,"3,21 km²"
Abitanti,21 468[1] (30-11-2025)
Densità,"6 687,85 ab./km²"
Frazioni,Carditello
Comuni confinanti,"Afragola, Caivano, Casoria, Crispano, Frattamaggiore"
Altre informazioni,Altre informazioni
Cod. postale,80024
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063016
Cod. catastale,B759
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 061 GG[3]"
Nome abitanti,carditesi (localmente carditisi)[4]
Patrono,san Biagio (tutto il territorio comunale) san Giuseppe e sant'Eufemia (Carditello)
Giorno festivo,"3 febbraio (capoluogo), 13 giugno (Carditello)"
Cartografia,Cartografia
Cardito,Cardito
Cardito – MappaPosizione del comune di Cardito nella città metropolitana di Napoli,Cardito – MappaPosizione del comune di Cardito nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
