Castellammare di Stabia comune,Castellammare di Stabia comune.1
,
Castellammare di Stabia – Veduta,Castellammare di Stabia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Luigi Vicinanza (ind. di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,40°41′41″N 14°28′49″E
Altitudine,6 m s.l.m.
Superficie,"17,81 km²"
Abitanti,61 958[1] (30-11-2025)
Densità,"3 478,83 ab./km²"
Frazioni,"Fratte, Madonna della Libera, Pioppaino, Ponte Persica, Pozzano, Privati, Quisisana, Scanzano, Varano"
Comuni confinanti,"Gragnano, Pimonte, Pompei, Santa Maria la Carità, Torre Annunziata, Vico Equense"
Altre informazioni,Altre informazioni
Cod. postale,80053
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063024
Cod. catastale,C129
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 095 GG[3]"
Nome abitanti,stabiesi
Patrono,san Catello
Giorno festivo,19 gennaio
Cartografia,Cartografia
Castellammare di Stabia,Castellammare di Stabia
Castellammare di Stabia – MappaPosizione del comune di Castellammare di Stabia nella città metropolitana di Napoli,Castellammare di Stabia – MappaPosizione del comune di Castellammare di Stabia nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
