Lettere comune,Lettere comune.1
,
Lettere – VedutaCastello di Lettere,Lettere – VedutaCastello di Lettere
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Anna Amendola (lista civica Lettere nel cuore) dal 12-6-2022[1]
Territorio,Territorio
Coordinate,40°42′N 14°33′E
Altitudine,356 m s.l.m.
Superficie,"12,02 km²"
Abitanti,6 023[2] (30-11-2025)
Densità,"501,08 ab./km²"
Frazioni,"Fuscoli, Depugliano, Orsano, Piazza Roma, San Lorenzo, San Nicola"
Comuni confinanti,"Angri (SA), Casola di Napoli, Corbara (SA), Gragnano, Ravello (SA), Sant'Antonio Abate, Tramonti (SA)"
Altre informazioni,Altre informazioni
Cod. postale,80050
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063039
Cod. catastale,E557
Targa,
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 562 GG[4]"
Nome abitanti,letteresi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Lettere,Lettere
Lettere – MappaPosizione del comune di Lettere nella città metropolitana di Napoli,Lettere – MappaPosizione del comune di Lettere nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
