Pompei comune,Pompei comune.1
,
Pompei – VedutaVeduta di Pompei e del Vesuvio dal campanile dell'omonima città,Pompei – VedutaVeduta di Pompei e del Vesuvio dal campanile dell'omonima città
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Andreina Esposito (f.f.) dal 17-12-2025
Data di istituzione,29 marzo 1928
Territorio,Territorio
Coordinate,40°45′N 14°30′E
Altitudine,14 m s.l.m.
Superficie,"12,42 km²"
Abitanti,23 536[1] (30-11-2025)
Densità,"1 895,01 ab./km²"
Frazioni,"Mariconda, Messigno, Piano Zona 167, Ponte Nuovo, Treponti, Fontanelle, Parrelle, Ponte Izzo, Ponte Persica, Fossavalle, Chiesa della Giuliana"
Comuni confinanti,"Boscoreale, Castellammare di Stabia, Sant'Antonio Abate, Santa Maria la Carità, Scafati (SA), Torre Annunziata"
Altre informazioni,Altre informazioni
Cod. postale,80045
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063058
Cod. catastale,G813
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 131 GG[3]"
Nome abitanti,pompeiani
Patrono,Madonna del Rosario
Giorno festivo,8 maggio - 7 ottobre
Cartografia,Cartografia
Pompei,Pompei
Pompei – MappaPosizione del comune di Pompei nella città metropolitana di Napoli,Pompei – MappaPosizione del comune di Pompei nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
