Cairano comune,Cairano comune.1
,
Cairano – VedutaCairano visto da Conza della Campania,Cairano – VedutaCairano visto da Conza della Campania
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Maria Antonietta Russo (lista civica Democrazia e sviluppo) dal 15-5-2023
Territorio,Territorio
Coordinate,40°53′52″N 15°22′16″E
Altitudine,770 m s.l.m.
Superficie,"13,81 km²"
Abitanti,275[1] (30-11-2025)
Densità,"19,91 ab./km²"
Comuni confinanti,"Andretta, Calitri, Conza della Campania, Pescopagano (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064013
Cod. catastale,B367
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 459 GG[3]"
Nome abitanti,cairanesi
Patrono,san Leone Magno
Giorno festivo,10 novembre
Cartografia,Cartografia
Cairano,Cairano
Cairano – MappaIl comune all'interno della provincia di Avellino,Cairano – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
