Lacedonia comune,Lacedonia comune.1
,
Lacedonia – Veduta,Lacedonia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Di Conza (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,41°03′08″N 15°25′29″E
Altitudine,732 m s.l.m.
Superficie,"82,1 km²"
Abitanti,2 015[1] (30-11-2025)
Densità,"24,54 ab./km²"
Comuni confinanti,"Aquilonia, Bisaccia, Melfi (PZ), Monteverde, Rocchetta Sant'Antonio (FG), Sant'Agata di Puglia (FG), Scampitella"
Altre informazioni,Altre informazioni
Cod. postale,83046
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064041
Cod. catastale,E397
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 377 GG[3]"
Nome abitanti,"lacedoniesi (""cërugnìs"" nel dialetto locale)"
Patrono,"san Nicola, san Filippo Neri"
Giorno festivo,"6 dicembre, 26 maggio"
Cartografia,Cartografia
Lacedonia,Lacedonia
Lacedonia – MappaIl comune di Lacedonia all'interno della provincia di Avellino,Lacedonia – MappaIl comune di Lacedonia all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
