Lapio comune,Lapio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Maria Teresa Lepore (lista civica Noi e con voi per Lapio) dal 10-6-2018
Territorio,Territorio
Coordinate,40°58′56″N 14°56′50″E
Altitudine,500 m s.l.m.
Superficie,"15,25 km²"
Abitanti,1 422[1] (30-11-2025)
Densità,"93,25 ab./km²"
Comuni confinanti,"Candida, Chiusano di San Domenico, Luogosano, Montefalcione, Montemiletto, Parolise, San Mango sul Calore, Taurasi"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064042
Cod. catastale,E448
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 932 GG[3]"
Nome abitanti,lapiani
Patrono,san Pietro martire
Giorno festivo,29 aprile
Cartografia,Cartografia
Lapio,Lapio
Lapio – MappaIl comune di Lapio all'interno della provincia di Avellino,Lapio – MappaIl comune di Lapio all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
