Rocca San Felice comune,Rocca San Felice comune.1
,
Rocca San Felice – Veduta,Rocca San Felice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Guido Cipriano (lista civica Insieme per Rocca) dal 10-6-2018
Territorio,Territorio
Coordinate,40°57′N 15°10′E
Altitudine,750 m s.l.m.
Superficie,"14,41 km²"
Abitanti,765[1] (30-11-2025)
Densità,"53,09 ab./km²"
Comuni confinanti,"Frigento, Guardia Lombardi, Sant'Angelo dei Lombardi, Sturno, Villamaina"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064079
Cod. catastale,H438
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 424 GG[3]"
Nome abitanti,rocchesi
Cartografia,Cartografia
Rocca San Felice,Rocca San Felice
Rocca San Felice – MappaIl comune di Rocca San Felice all'interno della provincia di Avellino,Rocca San Felice – MappaIl comune di Rocca San Felice all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
