Sant'Angelo a Scala comune,Sant'Angelo a Scala comune.1
,
Sant'Angelo a Scala – VedutaPanorama di Sant'Angelo a Scala,Sant'Angelo a Scala – VedutaPanorama di Sant'Angelo a Scala
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Carmine De Fazio (lista civica) dal 30-5-2016
Territorio,Territorio
Coordinate,40°58′35″N 14°44′25″E
Altitudine,582 m s.l.m.
Superficie,"10,75 km²"
Abitanti,672[1] (30-11-2025)
Densità,"62,51 ab./km²"
Comuni confinanti,"Altavilla Irpina, Capriglia Irpina, Grottolella, Pietrastornina, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83010
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064091
Cod. catastale,I280
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 069 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sant'Angelo a Scala,Sant'Angelo a Scala
Sant'Angelo a Scala – MappaIl comune di Sant'Angelo a Scala all'interno della provincia di Avellino,Sant'Angelo a Scala – MappaIl comune di Sant'Angelo a Scala all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
