Airola comune,Airola comune.1
,
Airola – Veduta,Airola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Vincenzo Falzarano (Per Airola 2026) dal 4-10-2021
Territorio,Territorio
Coordinate,41°03′31.36″N 14°33′33.26″E
Altitudine,270 m s.l.m.
Superficie,"14,90 km²"
Abitanti,8 086[1] (30-11-2025)
Densità,"542,68 ab./km²"
Frazioni,"Sepalone, Tavernola, Trivolati"
Comuni confinanti,"Arpaia, Bonea, Bucciano, Forchia, Moiano, Paolisi, Rotondi (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82011
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062001
Cod. catastale,A110
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 562 GG[3]"
Nome abitanti,airolani
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Airola,Airola
Airola – MappaPosizione del comune di Airola nella provincia di Benevento,Airola – MappaPosizione del comune di Airola nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
