Fragneto Monforte comune,Fragneto Monforte comune.1
,
Fragneto Monforte – Veduta,Fragneto Monforte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Luigi Facchino (lista civica Farnetum) dal 27-5-2019
Territorio,Territorio
Coordinate,41°14′48″N 14°45′48″E
Altitudine,415 m s.l.m.
Superficie,"24,49 km²"
Abitanti,1 649[1] (30-11-2025)
Densità,"67,33 ab./km²"
Frazioni,"Monterone, Rapinella, Fiume"
Comuni confinanti,"Benevento, Campolattaro, Casalduni, Fragneto l'Abate, Pesco Sannita, Ponte, Pontelandolfo, Torrecuso"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062034
Cod. catastale,D756
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 762 GG[3]"
Nome abitanti,fragnetani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Fragneto Monforte,Fragneto Monforte
Fragneto Monforte – MappaPosizione del comune di Fragneto Monforte nella provincia di Benevento,Fragneto Monforte – MappaPosizione del comune di Fragneto Monforte nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
