Marzano Appio comune,Marzano Appio comune.1
,
Marzano Appio – VedutaCastello di Terracorpo,Marzano Appio – VedutaCastello di Terracorpo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Andrea Terranova dal 9-6-2024
Territorio,Territorio
Coordinate,41°19′05″N 14°02′53″E
Altitudine,318 m s.l.m.
Superficie,"28,3 km²"
Abitanti,1 918[1] (30-11-2025)
Densità,"67,77 ab./km²"
Frazioni,"Ameglio, Campagnola, Capometa, Carangi, Cardoni, Civitella, Macini, San Lorenzo, Sarcioni, Terracorpo, Torello, Tuorocasale, Tuorofunaro, Vallecupa"
Comuni confinanti,"Caianello, Conca della Campania, Presenzano, Roccamonfina, Tora e Piccilli, Vairano Patenora"
Altre informazioni,Altre informazioni
Cod. postale,81035
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,061050
Cod. catastale,E998
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 685 GG[3]"
Nome abitanti,marzanesi
Patrono,sant'Antonio di Padova
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Marzano Appio,Marzano Appio
Marzano Appio – MappaPosizione del comune di Marzano Appio nella provincia di Caserta,Marzano Appio – MappaPosizione del comune di Marzano Appio nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
