Orta di Atella comune,Orta di Atella comune.1
,
Orta di Atella – Veduta,Orta di Atella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Antonio Santillo (liste civiche) dal 14-5-2023
Territorio,Territorio
Coordinate,40°58′N 14°16′E
Altitudine,36 m s.l.m.
Superficie,"10,83 km²"
Abitanti,27 450[1] (30-11-2025)
Densità,"2 534,63 ab./km²"
Frazioni,"Bugnano, Casapozzano"
Comuni confinanti,"Marcianise, Sant'Arpino, Succivo, Caivano (NA), Frattaminore (NA)"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061053
Cod. catastale,G130
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 193 GG[3]"
Nome abitanti,ortesi
Patrono,San Massimo
Giorno festivo,15 gennaio
Cartografia,Cartografia
Orta di Atella,Orta di Atella
Orta di Atella – MappaPosizione del comune di Orta di Atella nella provincia di Caserta,Orta di Atella – MappaPosizione del comune di Orta di Atella nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
