Altavilla Silentina comune,Altavilla Silentina comune.1
,
Altavilla Silentina – Veduta,Altavilla Silentina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Francesco Cembalo (lista civica ""Tutti per Altavilla"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°32′N 15°08′E
Altitudine,319 m s.l.m.
Superficie,"52,48 km²"
Abitanti,7 052[1] (30-11-2025)
Densità,"134,38 ab./km²"
Frazioni,"Borgo Carillia, Cerrelli, Scalareta, Cerrocupo[2]"
Comuni confinanti,"Albanella, Castelcivita, Controne, Postiglione, Serre"
Altre informazioni,Altre informazioni
Cod. postale,84045
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065005
Cod. catastale,A230
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 536 GG[4]"
Nome abitanti,altavillesi
Patrono,sant'Egidio abate
Giorno festivo,1º settembre
Cartografia,Cartografia
Altavilla Silentina,Altavilla Silentina
Altavilla Silentina – MappaPosizione del comune di Altavilla Silentina all'interno della provincia di Salerno,Altavilla Silentina – MappaPosizione del comune di Altavilla Silentina all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
