Cannalonga comune,Cannalonga comune.1
,
Cannalonga – VedutaPiazza del Popolo,Cannalonga – VedutaPiazza del Popolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carmine Laurito (lista civica Il paese che vogliamo) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°15′N 15°18′E
Altitudine,570 m s.l.m.
Superficie,"17,75 km²"
Abitanti,938[1] (30-11-2025)
Densità,"52,85 ab./km²"
Comuni confinanti,"Campora, Moio della Civitella, Novi Velia, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065024
Cod. catastale,B608
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 827 GG[3]"
Nome abitanti,cannalonghesi
Patrono,san Turibio de Mogrovejo
Giorno festivo,23 marzo
Cartografia,Cartografia
Cannalonga,Cannalonga
Cannalonga – MappaPosizione del comune di Cannalonga all'interno della provincia di Salerno,Cannalonga – MappaPosizione del comune di Cannalonga all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
