Conca dei Marini comune,Conca dei Marini comune.1
,
Conca dei Marini – VedutaPanorama dall'alto sul paese,Conca dei Marini – VedutaPanorama dall'alto sul paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Pasquale Buonocore (lista civica ""Uniti per Conca"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°37′N 14°34′E
Altitudine,120 m s.l.m.
Superficie,"1,06[1] km²"
Abitanti,638[2] (30-11-2025)
Densità,"601,89 ab./km²"
Comuni confinanti,"Amalfi, Furore"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065044
Cod. catastale,C940
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 169 GG[4]"
Nome abitanti,conchesi
Patrono,sant'Antonio di Padova e san Giovanni Battista
Giorno festivo,13 giugno e 24 giugno
Cartografia,Cartografia
Conca dei Marini,Conca dei Marini
Conca dei Marini – MappaPosizione del comune di Conca dei Marini all'interno della provincia di Salerno,Conca dei Marini – MappaPosizione del comune di Conca dei Marini all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
