Gioi comune,Gioi comune.1
,
Gioi – Veduta,Gioi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Maria Teresa Scarpa (lista civica Crescere insieme in comune) dal 27-5-2019
Territorio,Territorio
Coordinate,40°17′N 15°13′E
Altitudine,684 m s.l.m.
Superficie,"27,99 km²"
Abitanti,1 061[1] (30-11-2025)
Densità,"37,91 ab./km²"
Frazioni,Cardile
Comuni confinanti,"Campora, Moio della Civitella, Orria, Salento, Stio, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84056
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065057
Cod. catastale,E037
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 112 GG[3]"
Nome abitanti,gioiesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Gioi,Gioi
Gioi – MappaPosizione del comune di Gioi all'interno della provincia di Salerno,Gioi – MappaPosizione del comune di Gioi all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
