Giungano comune,Giungano comune.1
,
Giungano – VedutaGiungano vista da Trentinara,Giungano – VedutaGiungano vista da Trentinara
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Orlotti (lista civica Giungano democratica) dal 10-6-2018
Territorio,Territorio
Coordinate,40°23′25.21″N 15°05′34.89″E
Altitudine,250 m s.l.m.
Superficie,"11,7 km²"
Abitanti,1 292[1] (30-11-2025)
Densità,"110,43 ab./km²"
Frazioni,San Giuseppe
Comuni confinanti,"Capaccio Paestum, Cicerale, Trentinara"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065058
Cod. catastale,E060
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 450 GG[3]"
Nome abitanti,giunganesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Giungano,Giungano
Giungano – MappaPosizione del comune di Giungano all'interno della provincia di Salerno,Giungano – MappaPosizione del comune di Giungano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
