Montecorvino Pugliano comune,Montecorvino Pugliano comune.1
,
Montecorvino Pugliano – Veduta,Montecorvino Pugliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Alessandro Chiola (lista civica ""Avanti"") dal 27-5-2019"
Data di istituzione,25 gennaio 1820
Territorio,Territorio
Coordinate,40°41′N 14°57′E
Altitudine,342 m s.l.m.
Superficie,"28,88 km²"
Abitanti,11 214[1] (30-11-2025)
Densità,"388,3 ab./km²"
Frazioni,"Bivio Pratole, Pagliarone, Pugliano, Santa Tecla, San Vito, Torello."
Comuni confinanti,"Bellizzi, Giffoni Valle Piana, Montecorvino Rovella, Pontecagnano Faiano"
Altre informazioni,Altre informazioni
Cod. postale,84090
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065072
Cod. catastale,F480
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 700 GG[3]"
Nome abitanti,puglianesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Montecorvino Pugliano,Montecorvino Pugliano
Montecorvino Pugliano – MappaPosizione del comune di Montecorvino Pugliano all'interno della provincia di Salerno,Montecorvino Pugliano – MappaPosizione del comune di Montecorvino Pugliano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
