Nocera Inferiore comune,Nocera Inferiore comune.1
,
Nocera Inferiore – Veduta,Nocera Inferiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Paolo De Maio (PD) dal 13-6-2022
Data di istituzione,1851[1]
Territorio,Territorio
Coordinate,40°45′N 14°38′E
Altitudine,43 m s.l.m.
Superficie,"20,95 km²"
Abitanti,43 306[2] (30-11-2025)
Densità,"2 067,11 ab./km²"
Comuni confinanti,"Castel San Giorgio, Nocera Superiore, Roccapiemonte, Pagani, San Valentino Torio, Sarno, Tramonti"
Altre informazioni,Altre informazioni
Cod. postale,84014
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065078
Cod. catastale,F912
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 194 GG[4]"
Nome abitanti,nocerini
Patrono,san Prisco
Giorno festivo,9 maggio
Cartografia,Cartografia
Nocera Inferiore,Nocera Inferiore
Nocera Inferiore – MappaIl territorio di Nocera Inferiore all'interno della provincia di Salerno,Nocera Inferiore – MappaIl territorio di Nocera Inferiore all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
