Pertosa comune,Pertosa comune.1
,
Pertosa – Veduta,Pertosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Domenico Barba (lista civica Pertosa futura) dal 22-9-2020
Territorio,Territorio
Coordinate,40°33′N 15°27′E
Altitudine,310 m s.l.m.
Superficie,"6,16 km²"
Abitanti,633[1] (30-11-2025)
Densità,"102,76 ab./km²"
Frazioni,Muraglione
Comuni confinanti,"Auletta, Caggiano, Polla"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065093
Cod. catastale,G476
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 453 GG[3]"
Nome abitanti,pertosani
Patrono,"san Benedetto da Norcia, san Vittorio di Cesarea"
Giorno festivo,"21 marzo, 14 maggio"
Cartografia,Cartografia
Pertosa,Pertosa
Pertosa – MappaPosizione del comune di Pertosa all'interno della provincia di Salerno,Pertosa – MappaPosizione del comune di Pertosa all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
