Roccapiemonte comune,Roccapiemonte comune.1
,
Roccapiemonte – VedutaMonte Solano e la Rocca di San Quirico,Roccapiemonte – VedutaMonte Solano e la Rocca di San Quirico
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carmine Pagano (lista civica Rocca al centro) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°45′42″N 14°41′36″E
Altitudine,86 m s.l.m.
Superficie,"5,31 km²"
Abitanti,8 685[1] (30-11-2025)
Densità,"1 635,59 ab./km²"
Frazioni,"Casali, San Potito"
Comuni confinanti,"Castel San Giorgio, Cava de' Tirreni, Mercato San Severino, Nocera Inferiore, Nocera Superiore"
Altre informazioni,Altre informazioni
Cod. postale,84086
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065108
Cod. catastale,H431
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 248 GG[3]"
Nome abitanti,rocchesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Roccapiemonte,Roccapiemonte
Roccapiemonte – MappaPosizione del comune di Roccapiemonte all'interno della provincia di Salerno,Roccapiemonte – MappaPosizione del comune di Roccapiemonte all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
