Santomenna comune,Santomenna comune.1
,
Santomenna – Veduta,Santomenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Michele Di Geronimo (lista civica Pensiamo a Santomenna) dal 12-06-2022
Territorio,Territorio
Coordinate,40°48′44.46″N 15°20′36.84″E
Altitudine,540 m s.l.m.
Superficie,"8,92 km²"
Abitanti,369[1] (30-11-2025)
Densità,"41,37 ab./km²"
Comuni confinanti,"Castelnuovo di Conza, Laviano, Pescopagano (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065131
Cod. catastale,I260
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 989 GG[3]"
Nome abitanti,sammennesi
Patrono,san Menna martire
Cartografia,Cartografia
Santomenna,Santomenna
Santomenna – MappaPosizione del comune di Santomenna all'interno della provincia di Salerno,Santomenna – MappaPosizione del comune di Santomenna all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
