Sassano comune,Sassano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Domenico Rubino (lista civica ""Sasso Sano"") dal 22-9-2020"
Territorio,Territorio
Coordinate,40°20′25.08″N 15°33′55.98″E
Altitudine,491 m s.l.m.
Superficie,"47,76 km²"
Abitanti,4 680[1] (30-11-2025)
Densità,"97,99 ab./km²"
Frazioni,"Caiazzano, Peglio, San Rocco, Santa Maria, Silla, Varco Notar Ercole"
Comuni confinanti,"Buonabitacolo, Monte San Giacomo, Padula, Sala Consilina, Sanza, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84038
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065136
Cod. catastale,I451
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 639 GG[3]"
Nome abitanti,sassanesi
Patrono,san Giovanni Battista
Cartografia,Cartografia
Sassano,Sassano
Sassano – MappaPosizione del comune di Sassano all'interno della provincia di Salerno,Sassano – MappaPosizione del comune di Sassano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
