Valle dell'Angelo comune,Valle dell'Angelo comune.1
,
Valle dell'Angelo – Veduta,Valle dell'Angelo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Salvatore Angelo Iannuzzi (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°20′41″N 15°22′09″E
Altitudine,620 m s.l.m.
Superficie,"36,75 km²"
Abitanti,218[1] (30-11-2025)
Densità,"5,93 ab./km²"
Frazioni,Pruno
Comuni confinanti,"Laurino, Piaggine, Rofrano, Sanza"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065153
Cod. catastale,G540
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 914 GG[3]"
Nome abitanti,"casalettari, vallangiolesi"
Patrono,san Barbato
Giorno festivo,31 luglio e 19 febbraio
Cartografia,Cartografia
Valle dell'Angelo,Valle dell'Angelo
Valle dell'Angelo – MappaPosizione del comune di Valle dell'Angelo all'interno della provincia di Salerno,Valle dell'Angelo – MappaPosizione del comune di Valle dell'Angelo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
