Provincia di Salerno provincia,Provincia di Salerno provincia.1
,
"Provincia di Salerno – VedutaPalazzo Sant'Agostino, sede della provincia","Provincia di Salerno – VedutaPalazzo Sant'Agostino, sede della provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Amministrazione,Amministrazione
Capoluogo,Salerno
Presidente,Vincenzo Napoli (PD) dal 6-4-2025
Data di istituzione,1806
Territorio,Territorio
Coordinate del capoluogo,40°41′N 14°46′E
Superficie,"4 954,16 km²"
Abitanti,1 053 786[1] (30-9-2025)
Densità,"212,71 ab./km²"
Comuni,158 comuni
Province confinanti,"Avellino, Napoli, Potenza"
Altre informazioni,Altre informazioni
Cod. postale,"84121-84135 (Salerno), 84010-84099 (provincia)"
Prefisso,"081, 089, 0828, 0973, 0974, 0975"
Fuso orario,UTC+1
ISO 3166-2,IT-SA
Codice ISTAT,065
Targa,SA
PIL,"(nominale) 21 384,58 mln €[2](2021)"
PIL procapite,(nominale) 20 088 €[2](2021)
Cartografia,Cartografia
Provincia di Salerno – Localizzazione,Provincia di Salerno – Localizzazione
Provincia di Salerno – MappaMappa della provincia di Salerno,Provincia di Salerno – MappaMappa della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
