Castenaso comune,Castenaso comune.1
,
Castenaso – Veduta,Castenaso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Carlo Gubellini (centro-sinistra) dal 27-5-2019 (2º mandato dall'11-6-2024)
Territorio,Territorio
Coordinate,44°30′35″N 11°28′14″E
Altitudine,42 m s.l.m.
Superficie,"35,73 km²"
Abitanti,16 665[1] (30-11-2025)
Densità,"466,41 ab./km²"
Frazioni,"Fiesso, Marano, Veduro, Villanova"
Comuni confinanti,"Bologna, Budrio, Granarolo dell'Emilia, Ozzano dell'Emilia, San Lazzaro di Savena"
Altre informazioni,Altre informazioni
Cod. postale,40055
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037021
Cod. catastale,C292
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 182 GG[3]"
Nome abitanti,castenasesi[4] o castenasensi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castenaso,Castenaso
Castenaso – MappaPosizione del comune di Castenaso nella città metropolitana di Bologna,Castenaso – MappaPosizione del comune di Castenaso nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
