Crevalcore comune,Crevalcore comune.1
,
Crevalcore – Veduta,Crevalcore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Marco Martelli (lista civica Progetto comune Crevalcore) dal 27-5-2019
Territorio,Territorio
Coordinate,44°43′N 11°09′E
Altitudine,20 m s.l.m.
Superficie,"102,75 km²"
Abitanti,14 193[1] (30-11-2025)
Densità,"138,13 ab./km²"
Frazioni,"Bevilacqua, Bolognina, Caselle, Galeazza, Guisa, Palata Pepoli, Ronchi, Sammartini"
Comuni confinanti,"Camposanto (MO), Cento (FE), Finale Emilia (MO), Nonantola (MO), Ravarino (MO), San Giovanni in Persiceto, Sant'Agata Bolognese"
Altre informazioni,Altre informazioni
Cod. postale,40014
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037024
Cod. catastale,D166
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 238 GG[3]"
Nome abitanti,crevalcoresi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Crevalcore,Crevalcore
Crevalcore – MappaPosizione del comune di Crevalcore nella città metropolitana di Bologna,Crevalcore – MappaPosizione del comune di Crevalcore nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
