Malalbergo comune,Malalbergo comune.1
,
Malalbergo – VedutaLa chiesa parrocchiale di Sant'Antonio Abate,Malalbergo – VedutaLa chiesa parrocchiale di Sant'Antonio Abate
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Massimiliano Vogli (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°43′10″N 11°31′59″E
Altitudine,12 m s.l.m.
Superficie,"53,82 km²"
Abitanti,9 413[1] (30-11-2025)
Densità,"174,9 ab./km²"
Frazioni,"Altedo, Casoni, Pegola, Ponticelli, Casette di Malalbergo"
Comuni confinanti,"Baricella, Bentivoglio, Galliera, Minerbio, Poggio Renatico (FE), San Pietro in Casale"
Altre informazioni,Altre informazioni
Cod. postale,40051
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037035
Cod. catastale,E844
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 329 GG[3]"
Nome abitanti,malalberghesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Malalbergo,Malalbergo
Malalbergo – MappaPosizione del comune di Malalbergo nella città metropolitana di Bologna,Malalbergo – MappaPosizione del comune di Malalbergo nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
