Molinella comune,Molinella comune.1
,
Molinella – Veduta,Molinella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Bruno Bernardi (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°37′N 11°40′E
Altitudine,8 m s.l.m.
Superficie,"127,84 km²"
Abitanti,15 927[1] (30-11-2025)
Densità,"124,59 ab./km²"
Frazioni,"Marmorta, San Martino in Argine, San Pietro Capofiume, Selva Malvezzi"
Comuni confinanti,"Argenta (FE), Baricella, Budrio, Medicina"
Altre informazioni,Altre informazioni
Cod. postale,40062
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037039
Cod. catastale,F288
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 168 GG[3]"
Nome abitanti,molinellesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Molinella,Molinella
Molinella – MappaPosizione del comune di Molinella nella città metropolitana di Bologna,Molinella – MappaPosizione del comune di Molinella nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
