Forlì comune,Forlì comune.1
,
Forlì – Veduta,Forlì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Gian Luca Zattini (indipendente di centro-destra) dall'11-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°13′21″N 12°02′27″E
Altitudine,34 m s.l.m.
Superficie,"228,2 km²"
Abitanti,118 038[1] (30-11-2025)
Densità,"517,26 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Bertinoro, Brisighella (RA), Castrocaro Terme e Terra del Sole, Faenza (RA), Forlimpopoli, Meldola, Predappio, Ravenna (RA), Russi (RA)"
Altre informazioni,Altre informazioni
Cod. postale,47121–47122
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040012
Cod. catastale,D704
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 087 GG[3]"
Nome abitanti,"forlivesi, liviensi"
Patrono,"Madonna del Fuoco; compatroni: san Valeriano martire, san Mercuriale, san Pellegrino Laziosi e il beato Torello da Poppi"
Giorno festivo,4 febbraio
Cartografia,Cartografia
Forlì,Forlì
Forlì – MappaPosizione del comune di Forlì nella provincia di Forlì-Cesena,Forlì – MappaPosizione del comune di Forlì nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
