Galeata comune,Galeata comune.1
,
Galeata – Veduta,Galeata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Francesca Pondini (lista civica di centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,44°00′N 11°55′E
Altitudine,237 m s.l.m.
Superficie,"63,13 km²"
Abitanti,2 549[1] (30-11-2025)
Densità,"40,38 ab./km²"
Frazioni,"Buggiana, Pianetto, Sant'Ellero, San Zeno, Strada San Zeno, Versara, Val di Francia, Pantano"
Comuni confinanti,"Civitella di Romagna, Predappio, Premilcuore, Rocca San Casciano, Santa Sofia"
Altre informazioni,Altre informazioni
Cod. postale,47010
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040014
Cod. catastale,D867
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 438 GG[3]"
Nome abitanti,galeatesi
Patrono,sant'Ellero di Galeata
Giorno festivo,15 maggio
Cartografia,Cartografia
Galeata,Galeata
Galeata – MappaPosizione del comune di Galeata nella provincia di Forlì-Cesena,Galeata – MappaPosizione del comune di Galeata nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
