Premilcuore comune,Premilcuore comune.1
,
Premilcuore – VedutaVeduta,Premilcuore – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Sauro Baruffi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°58′58″N 11°47′04.56″E
Altitudine,459 m s.l.m.
Superficie,"98,56 km²"
Abitanti,677[1] (30-11-2025)
Densità,"6,87 ab./km²"
Frazioni,"Ponte Fantella Fiumicello, Montalto, Castell dell'Alpe, Giumella"
Comuni confinanti,"Galeata, Portico e San Benedetto, Rocca San Casciano, San Godenzo (FI), Santa Sofia"
Altre informazioni,Altre informazioni
Cod. postale,47010
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040033
Cod. catastale,H034
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,premilcuoresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Premilcuore,Premilcuore
Premilcuore – MappaPosizione del comune di Premilcuore nella provincia di Forlì-Cesena,Premilcuore – MappaPosizione del comune di Premilcuore nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
