Maranello città,Maranello città.1
,
Maranello – Veduta,Maranello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Luigi Zironi (PD) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°31′35″N 10°52′00″E
Altitudine,137 m s.l.m.
Superficie,"32,58 km²"
Abitanti,17 343[1] (30-11-2025)
Densità,"532,32 ab./km²"
Frazioni,"Bell'Italia, Fogliano, Gorzano, Pozza, San Venanzio, Torre delle Oche, Torre Maina[2]"
Comuni confinanti,"Castelvetro di Modena, Fiorano Modenese, Formigine, Marano sul Panaro, Serramazzoni"
Altre informazioni,Altre informazioni
Cod. postale,41053
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036019
Cod. catastale,E904
Targa,MO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 378 GG[4]"
Nome abitanti,maranellesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Maranello,Maranello
Maranello – MappaPosizione del comune di Maranello all'interno della provincia di Modena,Maranello – MappaPosizione del comune di Maranello all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
