Spilamberto comune,Spilamberto comune.1
,
Spilamberto – VedutaRocca Rangoni,Spilamberto – VedutaRocca Rangoni
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Massimo Glielmi (lista civica Spilamberto con il centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,44°32′N 11°01′E
Altitudine,69 m s.l.m.
Superficie,"29,79 km²"
Abitanti,12 993[1] (30-11-2025)
Densità,"436,15 ab./km²"
Frazioni,"San Vito (Spilamberto) Cadorno, Casalgrandi"
Comuni confinanti,"Castelnuovo Rangone, Castelvetro di Modena, Modena, San Cesario sul Panaro, Savignano sul Panaro, Vignola"
Altre informazioni,Altre informazioni
Cod. postale,41057
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036045
Cod. catastale,I903
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 276 GG[3]"
Nome abitanti,spilambertesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Spilamberto,Spilamberto
Spilamberto – MappaPosizione del comune di Spilamberto all'interno della provincia di Modena,Spilamberto – MappaPosizione del comune di Spilamberto all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
