Fidenza comune,Fidenza comune.1
,
Fidenza – VedutaPalazzo Comunale e obelisco dedicato a Garibaldi,Fidenza – VedutaPalazzo Comunale e obelisco dedicato a Garibaldi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,"Davide Malvisi (PD e liste civiche di centro-sinistra, con l’appoggio esterno del Movimento 5 Stelle) dal 10-6-2024"
Territorio,Territorio
Coordinate,44°51′58.9″N 10°03′40″E
Altitudine,75 m s.l.m.
Superficie,"95,12 km²"
Abitanti,27 571[1] (30-11-2025)
Densità,"289,85 ab./km²"
Frazioni,"Bastelli, Cabriolo, Castione Marchesi, Chiusa Ferranda, Chiusa Viarola, Coduro, Cogolonchio, Costa Ferrari, Fornio, Monfestone, Osteria Pietralunga, Parola, Pieve Cusignano, Ponte Ghiara, Rimale, San Faustino, Santa Margherita, Siccomonte"
Comuni confinanti,"Alseno (PC), Busseto, Fontanellato, Medesano, Noceto, Salsomaggiore Terme, Soragna"
Altre informazioni,Altre informazioni
Cod. postale,43036
Prefisso,0524
Fuso orario,UTC+1
Codice ISTAT,034014
Cod. catastale,B034
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 503 GG[3]"
Nome abitanti,fidentini o borghigiani
Patrono,san Donnino
Giorno festivo,9 ottobre
Cartografia,Cartografia
Fidenza,Fidenza
Fidenza – MappaPosizione del comune di Fidenza nella provincia di Parma,Fidenza – MappaPosizione del comune di Fidenza nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
