Torrile comune,Torrile comune.1
,
Torrile – VedutaStrada Baganzola nel centro di Torrile,Torrile – VedutaStrada Baganzola nel centro di Torrile
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Alessandro Fadda (lista civica Torrile obiettivo comune) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°55′15.1″N 10°19′34.9″E
Altitudine,32 m s.l.m.
Superficie,"37,15 km²"
Abitanti,7 703[1] (30-11-2025)
Densità,"207,35 ab./km²"
Frazioni,"Bezze, Borgazzo-Ca' Scipioni, Gainago Ariana, Quartiere Minari, Rivarolo, San Polo (sede comunale), San Siro, Sant'Andrea, Torrile, Vicomero"
Comuni confinanti,"Colorno, Parma, Sissa Trecasali, Sorbolo Mezzani"
Altre informazioni,Altre informazioni
Cod. postale,43056
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034041
Cod. catastale,L299
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 469 GG[3]"
Nome abitanti,torrilesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Torrile,Torrile
Torrile – MappaPosizione del comune di Torrile nella provincia di Parma,Torrile – MappaPosizione del comune di Torrile nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
