Valmozzola comune,Valmozzola comune.1
,
Valmozzola – Veduta,Valmozzola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Claudio Alzapiedi (lista civica Impegno comune per Valmozzola) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°34′06.3″N 9°53′05.9″E
Altitudine,565 m s.l.m.
Superficie,"67,64[1] km²"
Abitanti,525[2] (30-11-2025)
Densità,"7,76 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bardi, Berceto, Borgo Val di Taro, Solignano, Varsi"
Altre informazioni,Altre informazioni
Cod. postale,43050
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034044
Cod. catastale,L641
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 180 GG[4]"
Nome abitanti,valmozzolesi[1]
Patrono,San Giuseppe[1]
Giorno festivo,1º maggio[1]
Cartografia,Cartografia
Valmozzola,Valmozzola
Valmozzola – MappaPosizione del comune di Valmozzola nella provincia di Parma,Valmozzola – MappaPosizione del comune di Valmozzola nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
